,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
20,-9.91392815878273e-08,-4.3903049343922345e-07,9.913928158782844e-08,-4.3903049343922684e-07,-4.3903049343922456e-07,-9.913928158782392e-08,-5.934979955855318e-07,-5.934979955855352e-07,5.934979955855329e-07,-5.934979955855329e-07,4.390304934392212e-07,-9.91392815878273e-08,-4.390304934392223e-07,9.91392815878273e-08,-5.93497995585534e-07,5.934979955855318e-07,5.934979955855374e-07,5.93497995585534e-07,4.390304934392212e-07,9.913928158782956e-08,-9.913928158782505e-08,4.390304934392223e-07,9.913928158782956e-08,4.390304934392223e-07
21,4.494844748212971e-08,3.388272895801131e-07,4.494844748212971e-08,-3.38827289580112e-07,3.3882728958010977e-07,4.494844748213197e-08,2.032004472308203e-07,2.0320044723081801e-07,2.032004472308203e-07,-2.032004472308203e-07,3.388272895801086e-07,-4.4948447482127455e-08,-3.388272895801086e-07,4.494844748213197e-08,-2.0320044723082254e-07,2.0320044723081576e-07,-2.0320044723081801e-07,-2.0320044723082254e-07,-3.388272895801154e-07,-4.49484474821252e-08,-4.4948447482127455e-08,3.388272895801109e-07,-4.49484474821252e-08,-3.38827289580112e-07
22,2.3003757457542863e-07,3.806813683225867e-07,-2.3003757457542524e-07,3.8068136832258215e-07,-3.806813683225867e-07,-2.3003757457542524e-07,-6.187531267489631e-07,6.187531267489585e-07,6.187531267489631e-07,6.187531267489608e-07,3.8068136832258215e-07,-2.3003757457542863e-07,-3.8068136832258215e-07,2.3003757457542974e-07,-6.187531267489631e-07,-6.187531267489653e-07,6.187531267489631e-07,-6.187531267489631e-07,3.8068136832258443e-07,2.3003757457542974e-07,2.3003757457542974e-07,-3.806813683225867e-07,-2.300375745754275e-07,-3.8068136832258893e-07
23,-2.9781358213704534e-07,-1.10659403624216e-06,-2.9781358213704306e-07,1.10659403624216e-06,1.106594036242161e-06,2.9781358213704756e-07,-2.242894703132833e-07,2.2428947031328555e-07,-2.242894703132878e-07,-2.242894703132867e-07,1.1065940362421588e-06,-2.9781358213704534e-07,-1.10659403624216e-06,2.9781358213704534e-07,2.2428947031328894e-07,2.2428947031328105e-07,2.2428947031328894e-07,-2.2428947031328894e-07,-1.1065940362421645e-06,-2.9781358213704306e-07,2.9781358213704756e-07,-1.1065940362421634e-06,2.9781358213704534e-07,1.1065940362421622e-06
24,-5.463149909915176e-07,-3.7842636882232493e-07,5.463149909915176e-07,-3.784263688223272e-07,-3.784263688223238e-07,-5.463149909915142e-07,-1.8964671130747287e-07,-1.89646711307474e-07,1.8964671130747176e-07,-1.89646711307474e-07,3.7842636882232493e-07,-5.463149909915176e-07,-3.784263688223261e-07,5.463149909915244e-07,-1.8964671130747514e-07,1.8964671130747062e-07,1.896467113074774e-07,1.8964671130747287e-07,3.784263688223227e-07,5.463149909915221e-07,-5.463149909915153e-07,3.784263688223238e-07,5.463149909915198e-07,3.784263688223238e-07
25,6.266488273183947e-08,8.385715249539103e-07,6.266488273184059e-08,-8.385715249539126e-07,8.38571524953907e-07,6.266488273184398e-08,-1.9084635954364996e-08,-1.9084635954369506e-08,-1.9084635954364996e-08,1.908463595436725e-08,8.38571524953908e-07,-6.266488273183834e-08,-8.38571524953908e-07,6.266488273184173e-08,1.908463595436725e-08,-1.9084635954371763e-08,1.9084635954369506e-08,1.908463595436274e-08,-8.385715249539148e-07,-6.266488273183495e-08,-6.266488273183722e-08,8.38571524953908e-07,-6.266488273183722e-08,-8.385715249539126e-07
26,-8.4593167618931e-07,5.874754300954899e-08,8.459316761893123e-07,5.874754300954899e-08,-5.874754300954899e-08,8.459316761893123e-07,1.8502731034300378e-08,-1.8502731034300378e-08,-1.8502731034302635e-08,-1.850273103429812e-08,5.874754300954673e-08,8.459316761893123e-07,-5.874754300954899e-08,-8.459316761893066e-07,1.850273103429812e-08,1.8502731034295865e-08,-1.8502731034295865e-08,1.8502731034295865e-08,5.874754300954673e-08,-8.45931676189309e-07,-8.4593167618931e-07,-5.874754300954899e-08,8.459316761893134e-07,-5.8747543009551244e-08
27,-1.403202037188708e-07,6.13549204592637e-07,1.4032020371886627e-07,6.135492045926393e-07,-1.2639513813476854e-07,-7.388178066793689e-08,-6.170492957285915e-07,-3.6960544186876386e-07,6.170492957285891e-07,-3.696054418687661e-07,1.263951381347708e-07,-7.388178066793689e-08,1.2639513813476626e-07,-7.388178066793689e-08,6.170492957285915e-07,-3.696054418687616e-07,-6.170492957285937e-07,-3.6960544186876386e-07,-1.2639513813476626e-07,-7.388178066793689e-08,1.4032020371886852e-07,6.13549204592637e-07,-1.4032020371886852e-07,6.135492045926393e-07
28,7.388178066793238e-08,1.2639513813476854e-07,7.388178066793464e-08,-1.2639513813476854e-07,-6.13549204592637e-07,1.4032020371886402e-07,3.6960544186876386e-07,6.170492957285915e-07,3.696054418687661e-07,-6.170492957285891e-07,-6.135492045926348e-07,-1.4032020371886852e-07,-6.135492045926393e-07,-1.403202037188708e-07,3.6960544186876836e-07,-6.170492957285869e-07,3.6960544186876386e-07,6.170492957285937e-07,-6.135492045926336e-07,1.4032020371886177e-07,7.388178066793689e-08,-1.2639513813476854e-07,7.388178066793464e-08,1.2639513813476965e-07
29,1.3451499781325473e-07,2.2031102068528003e-08,-1.3451499781325925e-07,2.203110206853026e-08,9.522070741291488e-08,-1.5452900597221315e-07,-6.190146826030054e-07,1.622420169521076e-07,6.190146826030087e-07,1.6224201695210536e-07,-9.522070741291375e-08,-1.5452900597221088e-07,-9.522070741291714e-08,-1.5452900597221315e-07,6.190146826030065e-07,1.6224201695210986e-07,-6.190146826030077e-07,1.6224201695210536e-07,9.522070741291714e-08,-1.5452900597221088e-07,-1.3451499781325812e-07,2.203110206853026e-08,1.3451499781325473e-07,2.203110206853026e-08
30,-1.5452900597221088e-07,9.5220707412916e-08,-1.5452900597220976e-07,-9.522070741291263e-08,2.2031102068528003e-08,1.3451499781325473e-07,1.622420169521065e-07,-6.19014682603002e-07,1.622420169521065e-07,6.190146826030054e-07,2.2031102068531384e-08,-1.3451499781325473e-07,2.2031102068525746e-08,-1.3451499781325925e-07,1.622420169521065e-07,6.190146826030099e-07,1.622420169521065e-07,-6.190146826030043e-07,2.203110206853026e-08,1.3451499781325473e-07,-1.5452900597221088e-07,-9.522070741291263e-08,-1.5452900597221088e-07,9.522070741291714e-08
31,-4.6302861301750286e-07,-1.4114257140710978e-08,4.630286130175006e-07,-1.4114257140706465e-08,-8.594966524408044e-07,-4.252805216410913e-07,1.473909317630678e-08,-1.6119191110919422e-07,-1.4739093176309036e-08,-1.6119191110919647e-07,8.594966524408078e-07,-4.25280521641089e-07,8.594966524408033e-07,-4.252805216410913e-07,-1.4739093176309036e-08,-1.6119191110919194e-07,1.4739093176309036e-08,-1.6119191110919422e-07,-8.594966524408021e-07,-4.252805216410913e-07,4.6302861301749836e-07,-1.4114257140708722e-08,-4.6302861301750286e-07,-1.4114257140708722e-08
32,4.252805216410868e-07,8.594966524408055e-07,4.252805216410868e-07,-8.594966524408033e-07,1.4114257140710978e-08,4.6302861301749836e-07,1.6119191110919422e-07,-1.4739093176304523e-08,1.6119191110919647e-07,1.4739093176309036e-08,1.4114257140713235e-08,-4.6302861301750286e-07,1.4114257140708722e-08,-4.6302861301750514e-07,1.6119191110919872e-07,1.4739093176311293e-08,1.6119191110919422e-07,-1.473909317630678e-08,1.4114257140710978e-08,4.6302861301749836e-07,4.252805216410868e-07,-8.594966524408033e-07,4.25280521641089e-07,8.594966524408055e-07
33,-7.416921731323944e-07,-1.4854961865530517e-07,7.4169217313239e-07,-1.4854961865530292e-07,-7.295818439244158e-07,1.461774217854926e-07,1.7541514240969958e-08,3.258639764257734e-10,-1.7541514240971086e-08,3.258639764257734e-10,7.29581843924418e-07,1.4617742178549374e-07,7.295818439244136e-07,1.4617742178549374e-07,-1.7541514240971086e-08,3.2586397643028583e-10,1.7541514240969958e-08,3.258639764257734e-10,-7.295818439244136e-07,1.461774217854915e-07,7.4169217313239e-07,-1.4854961865530292e-07,-7.416921731323944e-07,-1.4854961865530292e-07
34,1.4617742178549374e-07,-7.295818439244158e-07,1.4617742178549374e-07,7.29581843924417e-07,-1.4854961865530403e-07,-7.416921731323944e-07,3.258639764223891e-10,1.75415142409756e-08,3.258639764223891e-10,-1.7541514240972214e-08,-1.4854961865530064e-07,7.41692173132391e-07,-1.4854961865530403e-07,7.416921731323888e-07,3.258639764223891e-10,-1.7541514240965445e-08,3.2586397642464534e-10,1.7541514240973343e-08,-1.4854961865530064e-07,-7.41692173132399e-07,1.4617742178549374e-07,7.29581843924418e-07,1.461774217854915e-07,-7.295818439244136e-07
35,-2.3078188473480075e-07,2.5071375400298776e-07,2.3078188473480527e-07,2.5071375400298776e-07,2.5071375400299e-07,-2.307818847347985e-07,1.8214549563522962e-07,1.821454956352285e-07,-1.821454956352285e-07,1.8214549563523076e-07,-2.5071375400299226e-07,-2.3078188473480189e-07,2.507137540029911e-07,2.3078188473480527e-07,1.8214549563522512e-07,-1.8214549563522962e-07,-1.8214549563522623e-07,-1.821454956352319e-07,-2.5071375400299226e-07,2.3078188473480527e-07,-2.3078188473480075e-07,-2.507137540029911e-07,2.3078188473480414e-07,-2.5071375400299226e-07
36,1.577882470117831e-07,-2.156066084782241e-07,-1.5778824701178086e-07,-2.1560660847822523e-07,2.1560660847822523e-07,-1.5778824701177858e-07,4.1771463020282745e-07,-4.1771463020282745e-07,-4.1771463020282745e-07,-4.1771463020282745e-07,-2.1560660847822523e-07,-1.5778824701178086e-07,2.156066084782241e-07,1.5778824701178536e-07,4.1771463020282745e-07,4.177146302028229e-07,-4.177146302028252e-07,4.177146302028252e-07,-2.1560660847822523e-07,1.5778824701178536e-07,1.5778824701178536e-07,2.1560660847822296e-07,-1.577882470117831e-07,2.1560660847822523e-07
37,2.1156466471648937e-07,-6.106521371873704e-08,2.115646647164905e-07,6.106521371873253e-08,-6.106521371873704e-08,2.115646647164905e-07,1.6993487347907607e-07,1.699348734790693e-07,1.6993487347907157e-07,-1.6993487347907157e-07,-6.106521371873704e-08,-2.1156466471648826e-07,6.106521371873929e-08,2.1156466471649276e-07,-1.6993487347907382e-07,1.699348734790693e-07,-1.699348734790693e-07,-1.6993487347907607e-07,6.106521371873365e-08,-2.11564664716486e-07,-2.1156466471648826e-07,-6.106521371873816e-08,-2.1156466471648826e-07,6.106521371873478e-08
38,2.6281416737111185e-08,-5.452339385313636e-10,-2.628141673710667e-08,-5.452339385336199e-10,-5.452339385313636e-10,2.6281416737111185e-08,2.2467791392391042e-07,2.2467791392390706e-07,-2.2467791392390706e-07,2.2467791392390706e-07,5.452339385291074e-10,2.6281416737111185e-08,-5.452339385291074e-10,-2.628141673710667e-08,2.2467791392390592e-07,-2.246779139239127e-07,-2.2467791392390706e-07,-2.2467791392391042e-07,5.452339385291074e-10,-2.628141673710667e-08,2.6281416737111185e-08,5.452339385291074e-10,-2.628141673710667e-08,5.452339385291074e-10
39,-2.5668296702377495e-07,4.2818630266328085e-07,-2.5668296702377723e-07,-4.2818630266328085e-07,-4.2818630266328085e-07,2.5668296702378395e-07,3.611956214289064e-07,-3.611956214289064e-07,3.6119562142890416e-07,3.6119562142890755e-07,-4.2818630266328313e-07,-2.5668296702377834e-07,4.2818630266328085e-07,2.5668296702378173e-07,-3.6119562142890755e-07,-3.6119562142891094e-07,-3.6119562142890527e-07,3.6119562142890527e-07,4.281863026632775e-07,-2.5668296702377606e-07,2.5668296702377834e-07,4.2818630266327863e-07,2.566829670237806e-07,-4.2818630266328313e-07
40,2.742495791275771e-07,-2.0697273702269724e-07,-2.742495791275737e-07,-2.0697273702270174e-07,2.0697273702269724e-07,-2.742495791275726e-07,-7.62852315171747e-08,7.62852315171747e-08,7.62852315171747e-08,7.628523151717695e-08,-2.0697273702269949e-07,-2.742495791275737e-07,2.0697273702269949e-07,2.742495791275782e-07,-7.62852315171747e-08,-7.628523151718146e-08,7.628523151717695e-08,-7.628523151717695e-08,-2.0697273702269949e-07,2.742495791275782e-07,2.74249579127576e-07,2.0697273702269724e-07,-2.742495791275737e-07,2.0697273702269724e-07
41,5.015255750626709e-07,4.213736423070439e-07,5.015255750626709e-07,-4.213736423070439e-07,4.2137364230704277e-07,5.015255750626698e-07,6.196819758008841e-08,6.196819758008277e-08,6.19681975800839e-08,-6.196819758008277e-08,4.213736423070371e-07,-5.015255750626664e-07,-4.213736423070371e-07,5.015255750626698e-07,-6.196819758008729e-08,6.196819758008052e-08,-6.196819758008504e-08,-6.196819758008616e-08,-4.213736423070439e-07,-5.015255750626652e-07,-5.015255750626652e-07,4.213736423070394e-07,-5.015255750626652e-07,-4.213736423070439e-07
42,5.68064027578256e-07,2.7317767172308305e-07,-5.68064027578256e-07,2.7317767172308533e-07,2.731776717230842e-07,5.68064027578256e-07,-8.988135772630108e-09,-8.988135772635748e-09,8.988135772633493e-09,-8.988135772632365e-09,-2.731776717230876e-07,5.680640275782537e-07,2.731776717230842e-07,-5.680640275782503e-07,-8.98813577263462e-09,8.988135772627852e-09,8.988135772632365e-09,8.988135772632365e-09,-2.7317767172308533e-07,-5.680640275782526e-07,5.68064027578256e-07,-2.7317767172308644e-07,-5.680640275782537e-07,-2.7317767172308644e-07
43,2.7490965437203834e-07,-5.51786922553814e-07,2.7490965437203834e-07,5.517869225538106e-07,5.517869225538128e-07,-2.749096543720361e-07,-8.686760855595216e-09,8.686760855592961e-09,-8.68676085559973e-09,-8.68676085559409e-09,5.517869225538106e-07,2.7490965437203834e-07,-5.517869225538152e-07,-2.7490965437203384e-07,8.686760855598601e-09,8.686760855590705e-09,8.686760855596344e-09,-8.686760855596344e-09,-5.517869225538128e-07,2.749096543720406e-07,-2.7490965437203834e-07,-5.51786922553814e-07,-2.749096543720361e-07,5.517869225538106e-07
